		       1       1      0.000
		       1       2      0.000
			       1       3      0.000
		       2       1      0.000
		       2       2      0.000
			       2       3      0.000
		       3       1      0.000
		       3       2      0.000
			       3       3      0.000
		       4       1      0.000
		       4       2      0.000
			       4       3      0.000
		       5       1      0.000
		       5       2      0.000
			       5       3      0.000
		       6       1      0.000
		       6       2      0.000
			       6       3      0.000
		       7       1      0.000
		       7       2      0.000
			       7       3      0.000
		       8       1      0.000
		       8       2      0.000
			       8       3      0.000
		       9       1      0.000
		       9       2      0.000
			       9       3      0.000
		      10       1      0.000
		      10       2      0.000
			      10       3      0.000
		      11       1      0.000
		      11       2      0.000
			      11       3      0.000
		      12       1      0.000
		      12       2      0.000
			      12       3      0.000
		      13       1      0.000
		      13       2      0.000
			      13       3      0.000
		      14       1      0.000
		      14       2      0.000
			      14       3      0.000
		      15       1      0.000
		      15       2      0.000
			      15       3      0.000
		      16       1      0.000
		      16       2      0.000
			      16       3      0.000
		      17       1      0.000
		      17       2      0.000
			      17       3      0.000
		      18       1      0.000
		      18       2      0.000
			      18       3      0.000
		      19       1      0.000
		      19       2      0.000
			      19       3      0.000
		      20       1      0.000
		      20       2      0.000
			      20       3      0.000
		      21       1      0.000
		      21       2      0.000
			      21       3      0.000
